Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
identification of prognostic genes in the acute myeloid leukemia immune microenvironment based on tcga data analysis,2019,74,0,1825,0,7,3505.0,0.0,1.663,0,0
nanotopography on titanium promotes osteogenesis via autophagy-mediated signaling between yap and β-catenin,2019,66,0,1825,0,7,0.0,13.0,1.925,0,0
transcriptomic analysis of α-synuclein knockdown after t3 spinal cord injury in rats,2019,5,0,1825,1,7,0.0,5.0,1.047,0,0
three-dimensional intravital imaging in bone research,2019,2,0,1825,0,3,0.0,1.0,0.58,0,0
"nfis, a species-specific regulatory noncoding rna of pseudomonas stutzeri, enhances oxidative stress tolerance in escherichia coli",2019,3,0,1825,1,7,0.0,2.0,0.726,0,0
dala2gip antagonizes h2o2-induced chondrocyte apoptosis and inflammatory factor secretion,2019,6,0,1825,0,8,0.0,13.0,1.179,0,1
computational analysis and prediction of lysine malonylation sites by exploiting informative features in an integrative machine-learning framework,2019,72,0,1825,1,9,86.0,0.0,2.143,0,0
electrospun nanofibers with core-shell structure for treatment of bladder regeneration,2019,15,0,1825,0,6,0.0,0.0,0.0,0,0
the impact of hepatocyte nuclear factor-1α on liver malignancies and cell stemness with metabolic consequences,2019,16,0,1825,1,8,0.0,0.0,1.798,0,1
genetically encoded residue-selective photo-crosslinker to capture protein-protein interactions in living cells,2019,40,0,1825,1,10,0.0,1.0,6.556,0,0
lymph node metastasis in lung squamous cell carcinoma and identification of metastasis-related genes based on the cancer genome atlas,2019,12,0,1825,1,10,0.0,9.0,1.174,0,0
mechanosensitive pathways involved in cardiovascular development and homeostasis in zebrafish,2019,14,0,1825,1,5,0.0,0.0,0.486,0,0
high-throughput extracellular ph monitoring and antibiotics screening by polymeric fluorescent sensor with lcst property,2019,5,0,1825,0,9,0.0,1.0,1.162,1,1
comprehensive analysis of a cerna network reveals potential prognostic cytoplasmic lncrnas involved in hcc progression,2019,83,0,1825,1,11,0.0,119.0,1.321,0,3
single-crosslink microscopy in a biopolymer network dissects local elasticity from molecular fluctuations,2019,12,0,1825,1,4,143.0,31.0,4.887,0,0
high c-di-gmp promotes expression of fpr-1 and kate involved in oxidative stress resistance in pseudomonas putida kt2440,2019,9,0,1825,0,6,0.0,7.0,0.957,0,5
mir-106b promotes therapeutic antibody expression in cho cells by targeting deubiquitinase cyld,2019,9,0,1825,0,10,0.0,7.0,0.957,0,0
functional lipid polymeric nanoparticles for oral drug delivery: rapid mucus penetration and improved cell entry and cellular transport,2019,40,0,1825,0,9,0.0,1.0,0.863,0,0
zwitterion-functionalized dendrimer-entrapped gold nanoparticles for serum-enhanced gene delivery to inhibit cancer cell metastasis,2019,71,0,1825,0,9,0.0,13.0,1.925,0,0
regulation of flagellar motor switching by c-di-gmp phosphodiesterases in pseudomonas aeruginosa,2019,18,0,1825,1,10,0.0,7.0,1.766,0,2
identifying protein complexes based on an edge weight algorithm and core-attachment structure,2019,20,0,1825,1,3,0.0,1.0,1.005,0,0
"chemical probes reveal sirt2's new function as a robust ""eraser"" of lysine lipoylation",2019,31,0,1825,0,11,0.0,40.0,5.489,0,0
integrative analysis reveals across-cancer expression patterns and clinical relevance of ribonucleotide reductase in human cancers,2019,12,0,1825,1,18,0.0,42.0,1.066,0,3
regulation and adaptive evolution of industrial microorganisms towards genetic and environmental disturbances,2019,4,0,1825,0,2,0.0,0.0,0.0,0,0
interplay between ubiquitylation and sumoylation: empowered by phase separation,2019,10,0,1825,1,1,0.0,7.0,1.766,0,0
construction and analysis of molecular association network by combining behavior representation and node attributes,2019,11,0,1825,1,3,0.0,4.0,0.853,0,0
proteomics profiling of host cell response via protein expression and phosphorylation upon dengue virus infection,2019,23,0,1825,1,9,0.0,2.0,0.928,0,0
phosphatase activity of small c-terminal domain phosphatase 1 (scp1) controls the stability of the key neuronal regulator re1-silencing transcription factor (rest),2019,15,0,1825,1,9,0.0,7.0,1.766,0,0
genome-wide identification and characterization of fba gene family in polyploid crop brassica napus,2019,14,0,1825,1,8,0.0,17.0,1.179,0,4
serum extracellular vesicles contain sparc and lrg1 as biomarkers of colon cancer and differ by tumour primary location,2019,45,0,1825,1,9,0.0,6.0,3.193,0,0
integrating sequence and network information to enhance protein-protein interaction prediction using graph convolutional networks,2019,5,0,1825,0,7,0.0,0.0,0.0,0,0
a novel method to establish glucocorticoid resistant acute lymphoblastic leukemia cell lines,2019,13,0,1825,1,3,0.0,0.0,2.806,0,0
provision of carbon skeleton for lipid synthesis from the breakdown of intracellular protein and soluble sugar in phaeodactylum tricornutum under high co2,2019,11,0,1825,1,6,0.0,2.0,0.724,0,1
identification and interaction analysis of key genes and micrornas in systemic sclerosis by bioinformatics approaches,2019,7,0,1825,0,5,0.0,0.0,0.555,0,0
hsa-circ-0058124 promotes papillary thyroid cancer tumorigenesis and invasiveness through the notch3/gatad2a axis,2019,115,0,1825,1,12,0.0,0.0,2.806,0,0
the role of ubiquitination in regulating embryonic stem cell maintenance and cancer development,2019,15,0,1825,1,3,0.0,17.0,1.179,0,0
microarray analysis of infectious bronchitis virus infection of chicken primary dendritic cells,2019,14,0,1825,1,4,0.0,5.0,1.047,0,0
systematic analysis of differentially expressed maize zmbzip genes between drought and rewatering transcriptome reveals bzip family members involved in abiotic stress responses,2019,27,0,1825,1,6,0.0,17.0,1.179,0,0
dna sequences homologous to hepatitis c virus (hcv) in the extrachromosomal circular dna in peripheral blood mononuclear cells of hcv-negative subjects; [hcv 阴性者外周血单核细胞的染色体外环状 dna 中与 hcv 同源的 dna 序列],2019,4,0,1825,1,2,0.0,4.0,0.861,0,0
contribution of time delays to p53 oscillation in dna damage response,2019,1,0,1825,1,3,0.0,0.0,0.365,0,0
the invasion of de-differentiating cancer cells into hierarchical tissues,2019,12,0,1825,1,4,0.0,2.0,1.652,0,0
correction to: mesenchymal stem cells decrease blood-brain barrier permeability in rats with severe acute pancreatitis (cellular & molecular biology letters (2019) 24: 43 doi: 10.1186/s11658-019-0167-8),2019,2,0,1825,1,6,0.0,0.0,2.229,0,0
nanomaterial designing strategies related to cell lysosome and their biomedical applications: a review,2019,87,0,1825,0,11,0.0,3.0,3.016,0,1
consistent biomarkers and related pathogenesis underlying asthma revealed by systems biology approach,2019,23,0,1825,1,8,0.0,17.0,1.179,0,0
analysis of tartary buckwheat (fagopyrum tataricum) seed proteome using offline two-dimensional liquid chromatography and tandem mass spectrometry,2019,30,0,1825,1,8,0.0,2.0,0.696,0,4
size-dependent sub-proteome analysis of urinary exosomes,2019,17,0,1825,0,6,0.0,1.0,0.686,0,4
identification of key genes and pathways involved in the heterogeneity of intrinsic growth ability between neurons after spinal cord injury in adult zebrafish,2019,5,0,1825,0,7,0.0,12.0,1.031,0,2
hnadock: a nucleic acid docking server for modeling rna/dna-rna/dna 3d complex structures,2019,28,0,1825,1,5,86.0,26.0,7.048,0,0
bioinformatic analysis of cacybp-associated proteins using human glioma databases,2019,7,0,1825,1,10,0.0,4.0,1.112,0,1
deciphering molecular mechanism of silver by integrated omic approaches enables enhancing its antimicrobial efficacy in e. coli,2019,71,0,1825,1,14,0.0,11.0,3.822,0,6
a sparse and decomposed particle swarm optimization for inferring gene regulatory networks based on fuzzy cognitive maps,2019,1,0,1825,0,2,0.0,0.0,0.27,0,0
dopamine d2 receptors regulate the action potential threshold by modulating t-type calcium channels in stellate cells of the medial entorhinal cortex,2019,9,0,1825,1,10,0.0,0.0,1.708,0,2
extracellular vesicles in bone and tooth: a state-of-art paradigm in skeletal regeneration,2019,9,0,1825,0,10,0.0,119.0,1.321,0,5
apc/c ubiquitin ligase: coupling cellular differentiation to g1/g0 phase in multicellular systems,2019,18,0,1825,1,1,0.0,0.0,6.002,0,0
predicting drug-induced transcriptome responses of a wide range of human cell lines by a novel tensor-train decomposition algorithm,2019,19,0,1825,1,9,86.0,6.0,2.574,0,0
linc00423 as a tumor suppressor in retroperitoneal liposarcoma via activing mapk signaling pathway through destabilizing of nfatc3,2019,2,0,1825,1,12,143.0,0.0,2.447,0,1
characterization of transcriptome profile and clinical features of a novel immunotherapy target cd204 in diffuse glioma,2019,19,0,1825,1,9,0.0,9.0,1.174,0,0
oriented collagen fiber membranes formed through counter-rotating extrusion and their application in tendon regeneration,2019,92,0,1825,0,6,0.0,3.0,3.016,0,0
small-molecule modulators of the hypoxia-inducible factor pathway: development and therapeutic applications,2019,44,0,1825,0,3,0.0,8.0,1.986,0,3
a new lstm-based gene expression prediction model: l-gepm,2019,10,0,1825,0,6,0.0,0.0,0.27,0,6
golgi-resident trio regulates membrane trafficking during neurite outgrowth,2019,19,0,1825,1,14,0.0,7.0,1.766,0,7
microrna-422a functions as a tumor suppressor in non-small cell lung cancer through sulf2-mediated tgf-β/smad signaling pathway,2019,17,0,1825,1,5,0.0,95.0,0.947,0,0
a microrna-triggered self-powered dnazyme walker operating in living cells,2019,60,0,1825,0,9,0.0,0.0,2.052,0,0
prediction of oxidoreductase subfamily classes based on rfe-snd-cc-pssm and machine learning methods,2019,4,0,1825,0,5,0.0,0.0,0.27,0,0
magnesium deficiency induced global transcriptome change in citrus sinensis leaves revealed by rna-seq,2019,28,0,1825,1,7,0.0,17.0,1.179,0,0
vfoldla: a web server for loop assembly-based prediction of putative 3d rna structures,2019,18,0,1825,1,3,0.0,1.0,1.771,0,0
molecular genetic tools and emerging synthetic biology strategies to increase cellular oil content in chlamydomonas reinhardtii,2019,36,0,1825,1,5,86.0,0.0,1.375,0,1
magnetic induction spectroscopy for biomass measurement: a feasibility study,2019,8,0,1825,1,3,0.0,0.0,0.0,0,0
gain-of-function mutations in the unc-2/cav2α channel lead to excitation-dominant synaptic transmission in c. elegans,2019,17,0,1825,1,10,0.0,9.0,3.932,0,1
substrate stiffness- and topography-dependent differentiation of annulus fibrosus-derived stem cells is regulated by yes-associated protein,2019,68,0,1825,0,10,0.0,13.0,1.925,0,6
stk40 deletion elevates c-jun protein level and impairs mesoderm differentiation,2019,4,0,1825,1,15,0.0,7.0,1.766,0,6
transcriptome profiling of placenta through pregnancy reveals dysregulation of bile acids transport and detoxification function,2019,8,0,1825,1,14,0.0,17.0,1.179,0,5
fluorescent probes for nanoscopic imaging of mitochondria,2019,104,0,1825,1,11,0.0,1.0,6.556,0,1
decoding ww domain tandem-mediated target recognitions in tissue growth and cell polarity,2019,26,0,1825,1,6,0.0,9.0,3.932,0,0
supercritical co2 foamed composite scaffolds incorporating bioactive lipids promote vascularized bone regeneration via hif-1α upregulation and enhanced type h vessel formation,2019,58,0,1825,1,8,0.0,13.0,1.925,0,0
research progress in protein posttranslational modification site prediction,2019,36,0,1825,0,3,86.0,0.0,1.006,0,1
generation of human fatty livers using custom-engineered induced pluripotent stem cells with modifiable sirt1 metabolism,2019,71,0,1825,1,17,0.0,11.0,11.406,0,2
foxp1-induced lncrna clrn1-as1 acts as a tumor suppressor in pituitary prolactinoma by repressing the autophagy via inactivating wnt/β-catenin signaling pathway,2019,51,0,1825,1,8,143.0,0.0,2.447,0,0
regulation of cell division in streptococci: comparing with the model rods,2019,0,0,1825,1,5,0.0,0.0,0.675,0,1
effects of carbon dots surface functionalities on cellular behaviors – mechanistic exploration for opportunities in manipulating uptake and translocation,2019,17,0,1825,1,8,0.0,6.0,0.91,0,6
circular rna expression profiles in cisplatin-induced acute kidney injury in mice,2019,21,0,1825,0,8,0.0,1.0,0.751,0,0
programmable rna n 6-methyladenosine editing by crispr-cas9 conjugates,2019,136,0,1825,1,5,143.0,5.0,5.558,0,0
negative gravitropic response of roots directs auxin flow to control root gravitropism,2019,28,0,1825,1,2,0.0,0.0,0.0,0,0
coupling feedback genetic circuits with growth phenotype for dynamic population control and intelligent bioproduction,2019,68,0,1825,1,6,0.0,0.0,1.853,0,3
deciphering the rules of in silico autophagy methods for expediting medicinal research,2019,6,0,1825,0,6,0.0,8.0,1.986,0,0
isolation and culture of rat aortic endothelial cells in vitro: a novel approach without collagenase digestion,2019,13,0,1825,0,5,0.0,214.0,0.768,0,0
photostimulation by femtosecond laser activates extracellular-signal-regulated kinase (erk) signaling or mitochondrial events in target cells,2019,0,0,1825,0,4,0.0,0.0,0.449,0,1
identification of aberrantly methylated differentially expressed genes in breast cancer by integrated bioinformatics analysis,2019,5,0,1825,0,3,0.0,214.0,0.768,0,1
an integrated cell printing system for the construction of heterogeneous tissue models,2019,24,0,1825,0,5,0.0,13.0,1.925,0,3
heat-responsive proteomics of a heat-sensitive spinach variety,2019,24,0,1825,1,16,0.0,17.0,1.179,0,1
proteomic analysis reveals that odoroside a triggers g2/m arrest and apoptosis in colorectal carcinoma through ros-p53 pathway,2019,11,0,1825,0,7,0.0,4.0,1.011,0,0
increasing access to microfluidics for studying fungi and other branched biological structures,2019,16,0,1825,1,12,0.0,1.0,1.068,0,0
visualization of ceramide-associated proteins in ceramide-rich platforms using a cross-linkable ceramide analog and proximity ligation assays with anti-ceramide antibody,2019,10,0,1825,1,12,0.0,11.0,1.576,0,2
"functional characterization of dimms21, a sumo ligase from desmodium intortum",2019,1,0,1825,0,5,0.0,0.0,1.252,0,0
rationalization of stereoselectivity in enzyme reactions,2019,7,0,1825,0,4,0.0,0.0,3.473,0,0
effects of a sudden drop in salinity on immune response mechanisms of anadara kagoshimensis,2019,20,0,1825,1,4,0.0,17.0,1.179,0,0
generation of induced neural stem cells from peripheral mononuclear cells and differentiation toward dopaminergic neuron precursors for transplantation studies,2019,3,0,1825,0,2,0.0,0.0,0.449,0,0
landscape of intercellular crosstalk in healthy and nash liver revealed by single-cell secretome gene analysis,2019,416,0,1825,1,30,0.0,19.0,9.332,0,2
hsv-2-encoded mirna-h4 regulates cell cycle progression and act-d-induced apoptosis in hela cells by targeting cdkl2 and cdkn2a,2019,17,0,1825,1,5,0.0,2.0,0.928,0,0
identifying bacterial essential genes based on a feature-integrated method,2019,10,0,1825,0,5,0.0,0.0,0.794,0,0
"synthetic, context-dependent microbial consortium of predator and prey",2019,13,0,1825,0,4,0.0,0.0,1.289,0,0
assessment of monoclonality of cell bank for recombinant biologies production,2019,0,0,1825,0,5,0.0,0.0,0.152,0,0
atino80 and atarp5 physically interact and play common as well as distinct roles in regulating plant growth and development,2019,18,0,1825,1,5,0.0,1.0,3.007,0,0
identification and in silico characterization of gt factors involved in phytohormone and abiotic stresses responses in brachypodium distachyon,2019,1,0,1825,1,8,0.0,17.0,1.179,0,1
the influence of titanium dioxide nanoparticles on their cellular response to macrophage cells,2019,14,0,1825,0,7,0.0,0.0,0.941,0,0
human visual cortex is organized along two genetically opposed hierarchical gradients with unique developmental and evolutionary origins,2019,20,0,1825,1,3,0.0,11.0,3.822,0,0
small molecules with big roles in microrna chemical biology and microrna-targeted therapeutics,2019,42,0,1825,1,10,0.0,1.0,1.51,0,3
functional assessment of hydrophilic domains of late embryogenesis abundant proteins from distant organisms,2019,17,0,1825,1,13,0.0,0.0,1.185,0,0
greace-assisted adaptive laboratory evolution in endpoint fermentation broth enhances lysine production by escherichia coli,2019,22,0,1825,1,14,0.0,1.0,1.048,0,8
genetic tracing identifies early segregation of the cardiomyocyte and nonmyocyte lineages,2019,27,0,1825,1,17,28.0,26.0,4.903,0,0
evaluation of differentially expressed micrornas in vitrified oocytes by next generation sequencing,2019,10,0,1825,0,5,0.0,0.0,1.079,0,0
gingiva-derived mesenchymal stem cell-extracellular vesicles activate schwann cell repair phenotype and promote nerve regeneration,2019,60,0,1825,1,7,0.0,0.0,0.0,0,1
ywha/14-3-3 proteins recognize phosphorylated tfeb by a noncanonical mode for controlling tfeb cytoplasmic localization,2019,46,0,1825,1,6,0.0,1.0,4.035,0,0
"correction to: pro-neurogenic effect of β-asarone on rsc96 schwann cells in vitro (in vitro cellular & developmental biology - animal, (2016), 52, 3, (278-286), 10.1007/s11626-015-9980-1)",2019,0,0,1825,1,6,0.0,0.0,0.478,0,0
progress and perspective on cyanobacterial glycogen metabolism engineering,2019,53,0,1825,0,4,0.0,5.0,2.521,0,1
role of il-33 in transplant biology,2019,6,0,1825,0,4,1.0,0.0,0.667,0,0
multicellularity-interweaved bone regeneration of bmp-2-loaded scaffold with orchestrated kinetics of resorption and osteogenesis,2019,47,0,1825,0,7,0.0,3.0,3.016,0,0
mir-410 exerts neuroprotective effects in a cellular model of parkinson's disease induced by 6-hydroxydopamine via inhibiting the pten/akt/mtor signaling pathway,2019,29,0,1825,0,4,0.0,36.0,0.726,0,0
vitamin d3-vitamin d receptor axis suppresses pulmonary emphysema by maintaining alveolar macrophage homeostasis and function,2019,23,0,1825,1,5,0.0,6.0,3.193,0,2
using en face immunofluorescence staining to observe vascular endothelial cells directly,2019,3,0,1825,0,10,0.0,0.0,0.449,0,0
development of osteopromotive poly (octamethylene citrate glycerophosphate) for enhanced bone regeneration,2019,17,0,1825,1,14,0.0,13.0,1.925,0,0
regulation of an osteon-like concentric microgrooved surface on osteogenesis and osteoclastogenesis,2019,51,0,1825,0,6,0.0,3.0,3.016,0,0
formation of human periodontal ligament cell spheroids on chitosan films,2019,1,0,1825,0,7,0.0,0.0,0.449,0,0
lysophosphatidic acid: its role in bone cell biology and potential for use in bone regeneration,2019,15,0,1825,0,6,0.0,0.0,0.671,0,7
"author correction: threshold for neural tube defect risk by accumulated singleton loss-of-function variants (cell research, (2018), 28, 10, (1039-1041), 10.1038/s41422-018-0061-3)",2019,1,0,1825,1,10,143.0,3.0,9.506,0,6
chemically induced cell fate reprogramming and the acquisition of plasticity in somatic cells,2019,11,0,1825,0,1,0.0,0.0,2.328,0,0
tackling aging by using mirna as a target and a tool,2019,23,0,1825,1,3,0.0,0.0,3.219,0,0
identification of novel genes associated with a poor prognosis in pancreatic ductal adenocarcinoma via a bioinformatics analysis,2019,32,0,1825,1,4,0.0,126.0,0.754,0,1
"label-free proteomic analysis of molecular effects of 2-methoxy-1,4-naphthoquinone on penicillium italicum",2019,21,0,1825,1,8,0.0,17.0,1.179,0,0
fast prediction of protein methylation sites using a sequence-based feature selection technique,2019,168,0,1825,0,5,0.0,0.0,0.794,0,0
novel insights into parps in gene expression: regulation of rna metabolism,2019,30,0,1825,1,5,0.0,0.0,2.274,0,0
synthetic biology of yeast,2019,25,0,1825,0,3,0.0,15.0,1.042,0,0
microrna-29c induces g1 arrest of melanoma by targeting cdk6,2019,5,0,1825,0,2,0.0,0.0,0.34,0,0
iprot-sub: a comprehensive package for accurately mapping and predicting protease-specific substrates and cleavage sites,2019,161,0,1825,1,7,86.0,0.0,2.143,0,0
protein sequence classification using natural vector and convex hull method,2019,4,0,1825,0,3,0.0,3.0,0.659,0,1
microfluidic reprogramming to pluripotency of human somatic cells,2019,27,0,1825,1,8,143.0,1.0,7.419,0,0
biomimetic poly(glycerol sebacate)/polycaprolactone blend scaffolds for cartilage tissue engineering,2019,33,0,1825,0,6,0.0,0.0,0.651,0,1
identification of saa and actb as potential biomarker of patients with severe hfmd using itraq quantitative proteomics,2019,9,0,1825,0,5,0.0,3.0,0.703,0,0
over-expression of nectin-4 promotes progression of esophageal cancer and correlates with poor prognosis of the patients,2019,44,0,1825,1,5,0.0,37.0,1.257,0,0
osteogenic protein-1 alleviates high glucose microenvironment-caused degenerative changes in nucleus pulposus cells,2019,10,0,1825,1,13,0.0,126.0,0.754,0,1
one cell one niche: hematopoietic microenvironments constructed by bone marrow stromal cells with fibroblastic and histiocytic features,2019,3,0,1825,0,8,0.0,0.0,0.277,0,0
regulation by competition: a hidden layer of gene regulatory network,2019,15,0,1825,1,9,1.0,0.0,0.631,0,0
"diverse roles of the e2/e3 hybrid enzyme ube2o in the regulation of protein ubiquitination, cellular functions, and disease onset",2019,27,0,1825,1,5,0.0,0.0,2.003,0,2
mir-30a regulates cancer cell response to chemotherapy through snai1/irs1/akt pathway,2019,36,0,1825,1,10,143.0,0.0,2.447,0,0
an efficient ensemble learning approach for predicting protein-protein interactions by integrating protein primary sequence and evolutionary information,2019,24,0,1825,0,6,0.0,0.0,0.794,0,0
extensive mechanical tension promotes annulus fibrosus cell senescence through suppressing cellular autophagy,2019,22,0,1825,1,6,0.0,126.0,0.754,0,0
"the third-generation egfr inhibitor, osimertinib, promotes c-flip degradation, enhancing apoptosis including trail-induced apoptosis in nsclc cells with activating egfr mutations",2019,18,0,1825,1,8,0.0,0.0,1.263,0,0
genome‑wide profiling of lncrna and mrna expression in crswnp,2019,9,0,1825,1,6,0.0,135.0,0.781,0,0
a novel bispecific c-met/ctla-4 antibody targetting lung cancer stem cell-like cells with therapeutic potential in human non-small-cell lung cancer,2019,17,0,1825,1,4,0.0,126.0,0.754,0,0
adeno-associated virus 2 bound to its cellular receptor aavr,2019,66,0,1825,0,15,143.0,0.0,7.982,0,2
amphoteric poly(amido amine)s with adjustable balance between transfection efficiency and cytotoxicity for gene delivery,2019,14,0,1825,0,8,0.0,6.0,0.91,0,1
improved crispr-cas12a-assisted one-pot dna editing method enables seamless dna editing,2019,17,0,1825,0,10,0.0,0.0,0.811,0,6
genome-wide identification and expression analysis of calmodulin and calmodulin-like genes in apple (malus × domestica),2019,36,0,1825,1,4,0.0,0.0,1.252,0,0
lypd8 regulates the proliferation and migration of colorectal cancer cells through inhibiting the secretion of il‑6 and tnf‑α,2019,4,0,1825,1,10,0.0,108.0,0.864,0,2
laser interference-based technique for dynamic measurement of single cell deformation manipulated by optical tweezers,2019,0,0,1825,0,5,0.0,0.0,0.541,0,2
alternative polyadenylation dependent function of splicing factor srsf3 contributes to cellular senescence,2019,33,0,1825,1,7,0.0,11.0,1.18,1,1
characterization of h3 methylation in regulating oocyte development in cyprinid fish,2019,17,0,1825,0,5,0.0,0.0,1.888,0,1
genome-wide screening of hexokinase gene family and functional elucidation of hxk2 response to cold stress in jatropha curcas,2019,16,0,1825,0,7,0.0,40.0,0.649,0,9
a remotely controlled transformable soft robot based on engineered cardiac tissue construct,2019,34,0,1825,0,7,0.0,4.0,3.348,0,0
extracting lipid vesicles from plasma membranes via self-assembly of clathrin-inspired scaffolding nanoparticles,2019,5,0,1825,0,5,0.0,6.0,0.91,0,3
a tetrameric protein scaffold as a nano-carrier of antitumor peptides for cancer therapy,2019,30,0,1825,1,13,0.0,3.0,3.016,0,1
strategy and regulatory mechanisms of glutamate feeding to enhance astaxanthin yield in xanthophyllomyces dendrorhous,2019,25,0,1825,0,7,0.0,0.0,0.649,0,1
mrna as a transformative technology for vaccine development to control infectious diseases,2019,289,0,1825,1,5,0.0,0.0,3.736,0,0
a photostable aiegen for specific and real-time monitoring of lysosomal processes,2019,15,0,1825,0,6,0.0,0.0,0.846,0,2
lighting up the native viral rna genome with a fluorogenic probe for the live-cell visualization of virus infection,2019,72,0,1825,0,11,0.0,40.0,5.489,0,3
scalable analysis of cell-type composition from single-cell transcriptomics using deep recurrent learning,2019,111,0,1825,1,5,143.0,3.0,14.796,0,2
"retraction: 6-gingerol inhibits proliferation in gastric cancer via the stat3 pathway in vitro (cellular and molecular biology (noisy-le-grand, france) (2019) 65 3 (109-113))",2019,2,0,1825,0,6,0.0,0.0,0.0,0,0
discovery of potential pathways for biological conversion of poplar wood into lipids by co-fermentation of rhodococci strains,2019,64,0,1825,1,11,0.0,2.0,1.113,0,0
"krt15, inhba, matn3, and agt are aberrantly methylated and differentially expressed in gastric cancer and associated with prognosis",2019,33,0,1825,0,5,0.0,0.0,0.677,0,0
the pivotal oncogenic role of jab1/csn5 and its therapeutic implications in human cancer,2019,22,0,1825,0,8,0.0,12.0,0.725,1,6
"caloric restriction mimetics against age-associated disease: targets, mechanisms, and therapeutic potential",2019,358,0,1825,1,4,0.0,11.0,11.406,0,0
integrating mirna and mrna expression profiles in plasma of laying hens associated with heat stress,2019,13,0,1825,0,6,0.0,40.0,0.649,0,0
paracells: a gpu architecture for cell-centered models in computational biology,2019,4,0,1825,0,3,0.0,0.0,0.794,0,0
biomimicking fiber scaffold as an effective in vitro and in vivo microrna screening platform for directing tissue regeneration,2019,33,0,1825,1,12,0.0,3.0,3.914,0,1
pleiotropic effects of c-di-gmp content in pseudomonas syringae,2019,26,0,1825,1,10,141.0,7.0,1.016,0,0
rapid and reproducible phosphopeptide enrichment by tandem metal oxide affinity chromatography: application to boron deficiency induced phosphoproteomics,2019,17,0,1825,1,2,0.0,0.0,2.176,0,0
surface-acoustic-wave-based lab-on-chip for rapid transport of cryoprotectants across cell membrane for cryopreservation with significantly improved cell viability,2019,16,0,1825,0,12,0.0,4.0,3.348,0,0
zwitterionic ph-responsive hyaluronic acid polymer micelles for delivery of doxorubicin,2019,38,0,1825,0,7,0.0,6.0,0.91,0,0
research on corrosion behavior and biocompatibility of a porous mg–3%zn/5%β-ca3(po4)2 composite scaffold for bone tissue engineering,2019,3,0,1825,1,9,0.0,0.0,0.524,0,0
heterozygous diploid structure of amorphotheca resinae zn1 contributes efficient biodetoxification on solid pretreated corn stover,2019,25,0,1825,1,11,0.0,2.0,1.113,0,6
pitx3 mutations associated with autosomal dominant congenital cataract in the chinese population,2019,8,0,1825,1,12,0.0,135.0,0.781,0,0
the microrna expression profiles of human temporal lobe epilepsy in hs ilae type 1,2019,11,0,1825,0,10,0.0,5.0,1.118,0,6
automatic localization and identification of mitochondria in cellular electron cryo-tomography using faster-rcnn,2019,29,0,1825,1,11,0.0,1.0,1.005,0,0
aberrant expression of sperm‑specific glycolytic enzymes are associated with poor sperm quality,2019,26,0,1825,1,4,0.0,135.0,0.781,0,0
"usp39 regulates the cell cycle, survival, and growth of human leukemia cells",2019,9,0,1825,1,5,0.0,126.0,0.754,0,0
melatonin in macrophage biology: current understanding and future perspectives,2019,126,0,1825,1,11,0.0,5.0,2.194,0,0
the phosphoproteomic response of okra (abelmoschus esculentus l.) seedlings to salt stress,2019,12,0,1825,1,6,0.0,17.0,1.179,0,1
construction of vascularized tissue-engineered bone with polylysine-modified coral hydroxyapatite and a double cell-sheet complex to repair a large radius bone defect in rabbits,2019,41,0,1825,0,9,0.0,13.0,1.925,0,0
rational design of a heterotrimeric g protein subunit with artificial inhibitor sensitivity,2019,27,0,1825,1,17,0.0,7.0,1.766,0,0
doxorubicin loaded tumor-triggered targeting ammonium bicarbonate liposomes for tumor-specific drug delivery,2019,22,0,1825,0,9,0.0,6.0,0.91,0,3
development and validation of a tp53-associated immune prognostic model for hepatocellular carcinoma,2019,206,0,1825,1,9,0.0,6.0,3.193,0,0
morphological dissection and cellular and transcriptome characterizations of bamboo pith cavity formation reveal a pivotal role of genes related to programmed cell death,2019,31,0,1825,1,12,0.0,0.0,2.998,0,0
mesenchymal stem cell sheets: a new cell-based strategy for bone repair and regeneration,2019,52,0,1825,0,11,0.0,9.0,0.519,0,0
circrna‑mirna association for coronary heart disease,2019,49,0,1825,1,12,0.0,135.0,0.781,0,1
functional prediction and characterization of dip2 gene in mice,2019,15,0,1825,0,9,0.0,13.0,0.847,0,0
a collagen hydrogel loaded with hdac7-derived peptide promotes the regeneration of infarcted myocardium with functional improvement in a rodent model,2019,42,0,1825,1,13,0.0,13.0,1.925,0,0
polo‑like kinase 4 promotes tumorigenesis and induces resistance to radiotherapy in glioblastoma,2019,15,0,1825,1,9,0.0,108.0,0.864,0,0
exportin-1 is required for the maintenance of the planarian epidermal lineage,2019,10,0,1825,0,8,0.0,11.0,1.245,0,0
succinylation-dependent mitochondrial translocation of pkm2 promotes cell survival in response to nutritional stress,2019,52,0,1825,1,7,143.0,0.0,2.447,0,0
"screening of important lncrnas associated with the prognosis of lung adenocarcinoma, based on integrated bioinformatics analysis",2019,7,0,1825,1,9,0.0,135.0,0.781,0,1
transcriptional landscape of alternative splicing during peripheral nerve injury,2019,11,0,1825,0,2,0.0,119.0,1.321,0,1
multi-rhythmicity generated by coupling two cellular rhythms,2019,22,0,1825,1,2,38.0,0.0,1.101,0,0
